Date,Time,Stage [ft],Quality
4/15/2017,11:35:00 AM,944.28,"120 (Suspect), ed"
4/15/2017,11:50:00 AM,944.27,"120 (Suspect), ed"
4/15/2017,12:05:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,12:20:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,12:35:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,12:50:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,1:05:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,1:20:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,1:35:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,1:50:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,2:05:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,2:20:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,2:35:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,2:50:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,3:05:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,3:20:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,3:35:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,3:50:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,4:05:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,4:20:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,4:35:00 PM,944.28,"120 (Suspect), ed"
4/15/2017,4:50:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,5:05:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,5:20:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,5:35:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,5:50:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,6:05:00 PM,944.29,"120 (Suspect), ed"
4/15/2017,6:20:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,6:35:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,6:50:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,7:05:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,7:20:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,7:35:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,7:50:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,8:05:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,8:20:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,8:35:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,8:50:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,9:05:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,9:20:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,9:35:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,9:50:00 PM,944.3,"120 (Suspect), ed"
4/15/2017,10:05:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,10:20:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,10:35:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,10:50:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,11:05:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,11:20:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,11:35:00 PM,944.31,"120 (Suspect), ed"
4/15/2017,11:50:00 PM,944.31,"120 (Suspect), ed"
4/16/2017,12:05:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,12:20:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,12:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,12:50:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,1:05:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,1:20:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,1:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,1:50:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,2:05:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,2:20:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,2:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,2:50:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,3:05:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,3:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,3:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,3:50:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,4:05:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,4:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,4:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,4:50:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,5:05:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,5:20:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,5:35:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,5:50:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,6:05:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,6:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,6:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,6:50:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,7:05:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,7:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,7:35:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,7:50:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,8:05:00 AM,944.33,"120 (Suspect), ed"
4/16/2017,8:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,8:35:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,8:50:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,9:05:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,9:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,9:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,9:50:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,10:05:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,10:20:00 AM,944.32,"120 (Suspect), ed"
4/16/2017,10:35:00 AM,944.31,"120 (Suspect), ed"
4/16/2017,10:50:00 AM,944.31,"120 (Suspect), ed"
